boundary_mode,observer_mode,mean_identity_score_mean,mean_identity_score_std,final_identity_score_mean,final_identity_score_std,mean_recovery_mean,mean_recovery_std,mean_action_rate_mean,mean_action_rate_std
zero,object_off_tracked,0.6463787466995581,0.007019458888345018,0.48525062512261863,0.3511000030836316,515.5686666666667,1259.496211564326,0.0,0.0
zero,passive_nopersist,0.00031844744307764903,0.00037076365997692963,0.0,0.0,6.105333333333333,6.603127407187866,0.0,0.0
zero,passive_persist,0.6895976261060196,0.0088183613713348,0.801485401768735,0.278927610689486,42.49466666666665,130.3138144054148,0.0,0.0
zero,active_persist,0.7028999885597297,0.010683085596000142,0.7618504355978591,0.23972661950046198,-75.06133333333334,132.25696890859433,0.04967129291453617,1.3877787807814457e-17
zero,active_random,0.0003192215097014649,0.0003282588805453278,0.001092896174863388,0.004089243045654581,10.138000000000002,5.370930645614409,0.04967129291453617,1.3877787807814457e-17
wrap,object_off_tracked,0.6112721212678642,0.009483726771124286,0.5531282034224183,0.25005629019937275,-377.438,1274.4649239959488,0.0,0.0
wrap,passive_nopersist,0.00026683728602095764,0.0003315276100490176,0.0,0.0,-7.772666666666667,69.92959673525621,0.0,0.0
wrap,passive_persist,0.6766341592205044,0.012796428827105539,0.5424371851785544,0.20994421215041745,12.936666666666666,189.3869088283442,0.0,0.0
wrap,active_persist,0.6922580409771085,0.013521783516299084,0.7660702159734172,0.18867114927703654,60.68200000000001,166.87796871566562,0.04967129291453617,1.3877787807814457e-17
wrap,active_random,0.0004878892975404296,0.00038317880623814566,0.00030165912518853697,0.0011287050940494542,6.562666666666668,18.41975586760645,0.04967129291453617,1.3877787807814457e-17
